satellite,UT Date,UT time,Sat(lon) [deg],Sat(lat) [deg],Sat(alt) [km],Sat(Azimuth) [deg],Sat(Elevation),[deg] SatRA[hr],SatDEC[deg],SunRA[hr],SunDEC[deg],SunZenithAngle[deg],SatAngularSpeed [arcsecs/sec]
ONEWEB-0259,2021-05-07,23:49:30,-107.347738,-86.034016,228686.37,182.801,31.078,06h47m32.034s,-86:57:35.203,3.0115409,17.0901685,113.237,5550.324
ONEWEB-0260,2021-05-07,22:38:30,-124.837176,-45.495284,195472.62,233.426,43.688,05h14m56.212s,-45:32:23.242,3.0083471,17.0767863,098.049,5291.086
ONEWEB-0260,2021-05-07,22:43:30,-121.375157,-71.241045,195520.51,198.898,38.423,05h26m3.945s,-71:53:56.468,3.0085720,17.0777291,099.104,5678.173
ONEWEB-0260,2021-05-07,22:47:30,-128.678633,-20.240192,195196.30,265.792,35.645,05h09m57.719s,-19:41:56.375,3.0087520,17.0784832,099.950,4845.710
ONEWEB-0260,2021-05-07,22:52:30,-128.306457,-46.003837,195302.37,232.768,41.206,05h14m43.138s,-45:59:58.308,3.0089769,17.0794259,101.009,5183.747
ONEWEB-0260,2021-05-07,22:57:30,-124.731591,-71.613047,195348.45,199.094,37.278,05h25m39.347s,-72:12:9.205,3.0092018,17.0803686,102.071,5532.627
ONEWEB-0260,2021-05-07,23:01:30,-132.179362,-20.509504,195021.63,263.969,32.649,05h09m46.292s,-19:56:32.787,3.0093817,17.0811226,102.922,4807.381
ONEWEB-0260,2021-05-07,23:06:30,-131.808241,-46.139288,195126.89,232.508,38.729,05h14m26.502s,-46:04:28.605,3.0096066,17.0820651,103.988,5083.088
ONEWEB-0260,2021-05-07,23:11:30,-128.244470,-71.615122,195173.41,199.651,36.239,05h24m57.547s,-72:07:21.793,3.0098315,17.0830076,105.057,5398.430
ONEWEB-0260,2021-05-07,23:20:30,-135.343173,-45.899795,194947.29,232.601,36.214,05h14m6.674s,-45:45:52.215,3.0102363,17.0847039,106.985,4990.854
ONEWEB-0260,2021-05-07,23:25:30,-131.914805,-71.245083,194995.48,200.579,35.241,05h24m1.280s,-71:39:28.452,3.0104613,17.0856462,108.059,5274.551
ONEWEB-0260,2021-05-07,23:34:30,-138.910543,-45.283745,194766.22,233.006,33.615,05h13m44.081s,-45:04:8.608,3.0108661,17.0873422,109.997,4908.356
ONEWEB-0260,2021-05-07,23:39:30,-135.725936,-70.500893,194816.17,201.878,34.214,05h22m54.690s,-70:48:25.402,3.0110910,17.0882844,111.075,5160.304
ONEWEB-0260,2021-05-07,23:48:30,-142.508273,-44.291055,194585.88,233.680,30.886,05h13m19.170s,-43:59:23.478,3.0114959,17.0899801,113.021,4836.768
ONEWEB-0261,2021-05-07,22:35:30,-123.971383,-49.628051,149408.82,227.522,43.577,05h12m27.923s,-49:48:54.276,3.0082122,17.0762206,097.418,5005.818
ONEWEB-0261,2021-05-07,22:40:30,-125.997998,-40.577549,149324.70,240.304,42.324,05h10m35.459s,-40:27:30.609,3.0084371,17.0771634,098.471,4775.266
ONEWEB-0261,2021-05-07,22:45:30,-127.842086,-31.475108,149240.62,252.255,39.423,05h08m57.845s,-31:04:3.777,3.0086620,17.0781062,099.526,4582.520
ONEWEB-0261,2021-05-07,22:50:30,-129.583263,-22.322538,149157.83,262.975,35.167,05h07m25.834s,-21:39:8.943,3.0088869,17.0790489,100.585,4440.176
ONEWEB-0261,2021-05-07,22:56:30,-112.496290,-82.843047,149310.32,185.778,32.489,05h38m33.218s,-84:06:14.890,3.0091568,17.0801800,101.858,5201.508
ONEWEB-0261,2021-05-07,23:01:30,-124.978605,-73.847972,149235.31,196.576,35.772,05h20m10.646s,-74:37:54.028,3.0093817,17.0811226,102.922,5103.886
ONEWEB-0261,2021-05-07,23:06:30,-129.496041,-64.634942,149156.68,208.321,37.586,05h15m12.225s,-65:04:37.278,3.0096066,17.0820651,103.988,4953.188
ONEWEB-0261,2021-05-07,23:11:30,-132.354225,-55.339487,149075.36,220.521,37.767,05h12m30.594s,-55:28:3.465,3.0098315,17.0830076,105.057,4778.070
ONEWEB-0261,2021-05-07,23:16:30,-134.602467,-45.983562,148992.34,232.552,36.303,05h10m34.720s,-45:48:57.789,3.0100564,17.0839500,106.127,4608.894
ONEWEB-0261,2021-05-07,23:21:30,-136.564341,-36.573858,148908.63,243.888,33.344,05h08m57.513s,-36:07:59.116,3.0102813,17.0848924,107.200,4467.846
ONEWEB-0261,2021-05-07,23:32:30,-95.228010,-86.645222,148966.99,181.645,30.265,06h28m0.927s,-88:15:11.605,3.0107761,17.0869653,109.565,4932.805
ONEWEB-0261,2021-05-07,23:37:30,-131.065149,-77.882324,148894.74,192.812,32.660,05h21m17.357s,-78:31:50.781,3.0110011,17.0879075,110.644,4838.294
ONEWEB-0261,2021-05-07,23:42:30,-137.521965,-68.401399,148817.72,204.564,33.554,05h15m7.153s,-68:40:29.723,3.0112260,17.0888496,111.723,4710.364
ONEWEB-0261,2021-05-07,23:47:30,-140.893152,-58.807867,148736.65,216.419,32.866,05h12m17.877s,-58:46:8.187,3.0114509,17.0897917,112.804,4573.732
ONEWEB-0261,2021-05-07,23:52:30,-143.344646,-49.147114,148652.51,227.886,30.665,05h10m22.688s,-48:49:33.985,3.0116758,17.0907337,113.887,4450.619
ONEWEB-0262,2021-05-07,22:38:30,-108.375504,-82.435213,227363.26,185.643,33.829,06h02m0.577s,-83:22:46.544,3.0083471,17.0767863,098.049,6112.521
ONEWEB-0262,2021-05-07,22:42:30,-125.117480,-50.706807,227101.59,226.130,43.283,05h18m13.225s,-50:50:42.078,3.0085271,17.0775405,098.893,5646.057
ONEWEB-0262,2021-05-07,22:46:30,-128.286303,-18.588325,226817.20,267.879,35.552,05h11m23.159s,-18:05:57.236,3.0087070,17.0782947,099.738,5131.446
ONEWEB-0262,2021-05-07,22:51:30,-124.233018,-68.235605,227090.12,202.995,39.046,05h26m11.318s,-68:42:25.220,3.0089319,17.0792374,100.797,5845.821
ONEWEB-0262,2021-05-07,22:55:30,-129.583563,-36.125096,226808.00,245.836,39.529,05h14m27.033s,-35:55:36.678,3.0091118,17.0799915,101.646,5298.313
ONEWEB-0262,2021-05-07,23:00:30,-102.635413,-85.124499,227059.05,183.083,32.032,06h34m51.438s,-86:09:35.330,3.0093367,17.0809341,102.709,5902.995
ONEWEB-0262,2021-05-07,23:04:30,-130.327073,-53.463793,226803.01,222.841,39.754,05h18m33.721s,-53:33:58.346,3.0095166,17.0816881,103.562,5501.604
ONEWEB-0262,2021-05-07,23:08:30,-133.683344,-21.173218,226519.36,262.597,31.789,05h11m30.605s,-20:41:2.862,3.0096966,17.0824421,104.416,5093.373
ONEWEB-0262,2021-05-07,23:13:30,-128.942264,-70.571421,226788.48,200.987,36.603,05h27m19.052s,-70:59:12.575,3.0099215,17.0833846,105.485,5661.473
ONEWEB-0262,2021-05-07,23:17:30,-134.959012,-38.299025,226511.34,242.117,35.634,05h14m32.179s,-38:03:58.635,3.0101014,17.0841385,106.342,5212.429
ONEWEB-0262,2021-05-07,23:22:30,-91.179903,-86.661914,226752.32,181.380,31.033,07h38m28.458s,-87:49:52.790,3.0103263,17.0850808,107.414,5725.681
ONEWEB-0262,2021-05-07,23:26:30,-135.627096,-55.226430,226504.10,220.800,36.511,05h18m40.633s,-55:15:47.522,3.0105062,17.0858347,108.274,5363.860
ONEWEB-0262,2021-05-07,23:35:30,-133.903147,-71.918821,226484.99,200.003,34.637,05h27m48.962s,-72:14:57.570,3.0109111,17.0875306,110.212,5497.619
ONEWEB-0262,2021-05-07,23:39:30,-140.397505,-39.480573,226210.83,239.659,31.666,05h14m28.376s,-39:11:14.149,3.0110910,17.0882844,111.075,5130.330
ONEWEB-0262,2021-05-07,23:44:30,-82.150146,-87.223114,226444.03,180.648,30.625,08h48m14.420s,-88:27:53.997,3.0113159,17.0892264,112.155,5573.920
ONEWEB-0262,2021-05-07,23:48:30,-141.045102,-56.000628,226198.45,219.833,33.402,05h18m32.795s,-55:56:44.834,3.0114959,17.0899801,113.021,5240.841
ONEWEB-0263,2021-05-07,22:34:30,-124.694447,-23.921591,227551.91,262.985,40.675,05h13m49.156s,-23:33:10.291,3.0081672,17.0760320,097.207,5210.725
ONEWEB-0263,2021-05-07,22:39:30,-119.173594,-72.500891,227679.16,197.032,38.580,05h32m43.076s,-73:08:0.567,3.0083921,17.0769748,098.260,6020.824
ONEWEB-0263,2021-05-07,22:43:30,-125.990032,-39.784906,227515.17,241.403,42.863,05h16m47.778s,-39:42:1.921,3.0085720,17.0777291,099.104,5416.485
ONEWEB-0263,2021-05-07,22:48:30,-71.568967,-87.076141,227553.97,180.051,30.837,09h13m34.458s,-88:21:16.210,3.0087969,17.0786718,100.161,6011.309
ONEWEB-0263,2021-05-07,22:52:30,-126.712628,-55.459010,227454.63,219.825,41.620,05h20m57.938s,-55:39:32.241,3.0089769,17.0794259,101.009,5626.292
ONEWEB-0263,2021-05-07,22:56:30,-130.286585,-22.546108,227232.11,262.429,35.281,05h13m13.017s,-22:06:25.467,3.0091568,17.0801800,101.858,5117.530
ONEWEB-0263,2021-05-07,23:01:30,-125.397539,-70.916105,227365.08,200.021,37.576,05h29m49.253s,-71:24:22.178,3.0093817,17.0811226,102.922,5766.325
ONEWEB-0263,2021-05-07,23:05:30,-131.638585,-38.008253,227193.29,243.055,38.201,05h16m0.850s,-37:48:58.092,3.0095616,17.0818766,103.775,5251.754
ONEWEB-0263,2021-05-07,23:10:30,-100.106454,-85.663766,227244.05,182.535,31.679,06h51m54.355s,-86:43:43.122,3.0097865,17.0828191,104.843,5805.300
ONEWEB-0263,2021-05-07,23:14:30,-132.512010,-53.283540,227132.91,223.192,38.444,05h19m43.374s,-53:20:37.012,3.0099664,17.0835731,105.699,5406.877
ONEWEB-0263,2021-05-07,23:23:30,-131.843464,-68.352107,227046.04,204.051,36.307,05h26m44.001s,-68:40:23.730,3.0103713,17.0852693,107.629,5537.059
ONEWEB-0263,2021-05-07,23:27:30,-137.345824,-35.245214,226858.96,245.284,33.075,05h15m7.368s,-34:55:52.364,3.0105512,17.0860231,108.489,5121.281
ONEWEB-0263,2021-05-07,23:32:30,-119.755200,-82.999972,226929.66,186.350,32.373,06h01m33.791s,-83:43:46.447,3.0107761,17.0869653,109.565,5610.250
ONEWEB-0263,2021-05-07,23:36:30,-138.390426,-50.121294,226800.70,227.138,34.701,05h18m23.409s,-50:01:28.515,3.0109561,17.0877191,110.428,5226.489
ONEWEB-0263,2021-05-07,23:45:30,-138.346350,-64.799733,226718.40,209.006,34.414,05h23m50.019s,-64:55:54.789,3.0113609,17.0894149,112.372,5335.406
ONEWEB-0264,2021-05-07,22:37:30,-126.278002,-9.789990,145792.02,278.678,32.692,05h08m5.110s,-08:49:27.329,3.0083022,17.0765977,097.838,4289.063
ONEWEB-0264,2021-05-07,22:38:30,-114.671391,-78.458405,146053.26,190.039,35.235,05h31m41.163s,-79:38:57.687,3.0083471,17.0767863,098.049,5320.531
ONEWEB-0264,2021-05-07,22:43:30,-123.314431,-63.029979,145940.94,209.266,40.710,05h18m31.242s,-63:37:8.623,3.0085720,17.0777291,099.104,5121.388
ONEWEB-0264,2021-05-07,22:48:30,-126.756780,-47.430391,145824.43,230.790,41.817,05h14m11.603s,-47:29:17.975,3.0087969,17.0786718,100.161,4790.097
ONEWEB-0264,2021-05-07,22:53:30,-129.182359,-31.750759,145710.23,251.558,38.302,05h11m17.055s,-31:18:58.370,3.0090218,17.0796145,101.221,4483.765
ONEWEB-0264,2021-05-07,22:58:30,-131.264030,-16.006925,145604.88,269.347,31.121,05h08m39.503s,-15:08:57.495,3.0092467,17.0805571,102.284,4289.998
ONEWEB-0264,2021-05-07,22:59:30,-106.320116,-84.320113,145872.07,183.976,31.774,05h54m9.446s,-85:45:57.740,3.0092917,17.0807456,102.496,5122.382
ONEWEB-0264,2021-05-07,23:04:30,-126.987965,-68.987616,145761.53,202.581,37.133,05h19m58.308s,-69:37:4.038,3.0095166,17.0816881,103.562,4977.504
ONEWEB-0264,2021-05-07,23:09:30,-131.404615,-53.235497,145645.26,223.206,38.451,05h14m44.871s,-53:20:5.904,3.0097415,17.0826306,104.629,4710.940
ONEWEB-0264,2021-05-07,23:14:30,-134.090917,-37.387640,145529.75,243.402,35.451,05h11m42.695s,-37:00:23.022,3.0099664,17.0835731,105.699,4449.917
ONEWEB-0264,2021-05-07,23:25:30,-129.934891,-74.175983,145581.29,196.899,34.311,05h21m54.228s,-74:49:6.738,3.0104613,17.0856462,108.059,4843.425
ONEWEB-0264,2021-05-07,23:30:30,-135.977233,-58.285739,145467.12,216.957,35.466,05h15m16.215s,-58:22:54.442,3.0106862,17.0865885,109.135,4621.304
ONEWEB-0264,2021-05-07,23:35:30,-139.000786,-42.272039,145351.57,236.619,32.560,05h12m4.278s,-41:53:54.947,3.0109111,17.0875306,110.212,4400.726
ONEWEB-0264,2021-05-07,23:46:30,-131.595834,-78.585356,145399.37,192.077,32.233,05h24m47.073s,-79:13:51.803,3.0114059,17.0896033,112.588,4726.324
ONEWEB-0264,2021-05-07,23:51:30,-140.474581,-62.584308,145287.02,211.809,32.928,05h15m46.716s,-62:38:18.037,3.0116308,17.0905453,113.670,4533.133
ONEWEB-0266,2021-05-07,22:36:30,-120.852629,-66.556509,213827.67,204.316,40.883,05h25m16.094s,-67:05:25.083,3.0082572,17.0764091,097.628,5873.176
ONEWEB-0266,2021-05-07,22:40:30,-126.337569,-26.022455,213591.10,259.705,39.814,05h12m46.014s,-25:39:17.155,3.0084371,17.0771634,098.471,5102.211
ONEWEB-0266,2021-05-07,22:45:30,-123.490557,-65.083377,213700.19,206.711,40.469,05h23m56.761s,-65:32:21.137,3.0086620,17.0781062,099.526,5748.573
ONEWEB-0266,2021-05-07,22:49:30,-128.678001,-24.469026,213463.26,260.773,37.273,05h12m20.115s,-24:03:0.107,3.0088419,17.0788603,100.373,5047.478
ONEWEB-0266,2021-05-07,22:54:30,-126.123476,-63.449093,213571.99,209.274,39.923,05h22m41.714s,-63:49:23.427,3.0090668,17.0798030,101.434,5628.848
ONEWEB-0266,2021-05-07,22:58:30,-131.024603,-22.754193,213333.86,261.891,34.625,05h11m53.407s,-22:17:0.127,3.0092467,17.0805571,102.284,4999.888
ONEWEB-0266,2021-05-07,23:03:30,-128.746785,-61.653533,213442.66,211.986,39.217,05h21m31.180s,-61:56:33.261,3.0094717,17.0814996,103.348,5514.698
ONEWEB-0266,2021-05-07,23:07:30,-133.376985,-20.877726,213202.82,263.052,31.864,05h11m25.870s,-20:21:18.971,3.0096516,17.0822536,104.202,4959.703
ONEWEB-0266,2021-05-07,23:12:30,-131.357368,-59.696381,213311.91,214.819,38.327,05h20m25.137s,-59:53:51.425,3.0098765,17.0831961,105.271,5406.964
ONEWEB-0266,2021-05-07,23:21:30,-133.953323,-57.577210,213179.70,217.745,37.229,05h19m23.392s,-57:41:18.500,3.0102813,17.0848924,107.200,5306.567
ONEWEB-0266,2021-05-07,23:30:30,-136.533698,-55.295603,213046.26,220.730,35.905,05h18m25.633s,-55:18:55.338,3.0106862,17.0865885,109.135,5214.430
ONEWEB-0266,2021-05-07,23:39:30,-139.098261,-52.851269,212912.05,223.743,34.338,05h17m31.481s,-52:46:43.535,3.0110910,17.0882844,111.075,5131.423
ONEWEB-0266,2021-05-07,23:48:30,-141.647308,-50.244133,212777.52,226.753,32.518,05h16m40.515s,-50:04:45.734,3.0114959,17.0899801,113.021,5058.309
ONEWEB-0267,2021-05-07,22:35:30,-125.899427,-8.057121,167792.77,280.731,32.414,05h08m33.620s,-07:11:0.974,3.0082122,17.0762206,097.418,4522.615
ONEWEB-0267,2021-05-07,22:36:30,-111.367733,-80.618338,168242.75,187.557,34.437,05h42m40.054s,-81:46:34.024,3.0082572,17.0764091,097.628,5591.732
ONEWEB-0267,2021-05-07,22:40:30,-126.973170,-12.126987,167757.74,275.772,33.463,05h09m9.280s,-11:19:58.082,3.0084371,17.0771634,098.471,4543.018
ONEWEB-0267,2021-05-07,22:41:30,-101.587350,-84.414096,168212.90,183.453,32.235,06h10m58.037s,-85:48:21.560,3.0084821,17.0773520,098.682,5539.626
ONEWEB-0267,2021-05-07,22:45:30,-128.043442,-16.150646,167724.57,270.765,34.316,05h09m43.727s,-15:26:5.124,3.0086620,17.0781062,099.526,4565.199
ONEWEB-0267,2021-05-07,22:46:30,-61.391057,-87.329392,168181.97,179.490,30.077,11h08m48.166s,-88:58:22.321,3.0087070,17.0782947,099.738,5482.397
ONEWEB-0267,2021-05-07,22:50:30,-129.108295,-20.127943,167693.00,265.732,34.982,05h10m17.288s,-19:29:19.964,3.0088869,17.0790489,100.585,4588.549
ONEWEB-0267,2021-05-07,22:55:30,-130.165604,-24.058737,167662.76,260.700,35.469,05h10m50.268s,-23:29:40.751,3.0091118,17.0799915,101.646,4612.442
ONEWEB-0267,2021-05-07,23:00:30,-131.212968,-27.942912,167633.49,255.689,35.792,05h11m22.972s,-27:27:5.955,3.0093367,17.0809341,102.709,4636.263
ONEWEB-0267,2021-05-07,23:05:30,-132.247594,-31.780382,167604.82,250.721,35.965,05h11m55.713s,-31:21:34.387,3.0095616,17.0818766,103.775,4659.440
ONEWEB-0267,2021-05-07,23:10:30,-133.266142,-35.571087,167576.41,245.813,36.001,05h12m28.830s,-35:13:5.203,3.0097865,17.0828191,104.843,4681.472
ONEWEB-0267,2021-05-07,23:15:30,-134.264515,-39.314983,167547.92,240.980,35.919,05h13m2.705s,-39:01:37.872,3.0100114,17.0837615,105.913,4701.947
ONEWEB-0267,2021-05-07,23:20:30,-135.237573,-43.012029,167519.08,236.233,35.733,05h13m37.784s,-42:47:12.133,3.0102363,17.0847039,106.985,4720.558
ONEWEB-0267,2021-05-07,23:25:30,-136.178704,-46.662167,167489.70,231.580,35.460,05h14m14.615s,-46:29:47.943,3.0104613,17.0856462,108.059,4737.102
ONEWEB-0267,2021-05-07,23:30:30,-137.079206,-50.265293,167459.64,227.026,35.116,05h14m53.894s,-50:09:25.411,3.0106862,17.0865885,109.135,4751.482
ONEWEB-0267,2021-05-07,23:35:30,-137.927321,-53.821231,167428.86,222.573,34.717,05h15m36.537s,-53:46:4.738,3.0109111,17.0875306,110.212,4763.689
ONEWEB-0267,2021-05-07,23:40:30,-138.706710,-57.329686,167397.37,218.222,34.275,05h16m23.803s,-57:19:46.166,3.0111360,17.0884728,111.291,4773.794
ONEWEB-0267,2021-05-07,23:45:30,-139.393916,-60.790188,167365.24,213.971,33.805,05h17m17.480s,-60:50:29.918,3.0113609,17.0894149,112.372,4781.930
ONEWEB-0267,2021-05-07,23:50:30,-139.953964,-64.201994,167332.54,209.819,33.318,05h18m20.234s,-64:18:16.156,3.0115858,17.0903569,113.453,4788.278
ONEWEB-0268,2021-05-07,22:35:30,-126.402163,-3.505320,225785.41,285.053,30.034,05h08m5.181s,-02:47:16.508,3.0082122,17.0762206,097.418,5060.732
ONEWEB-0268,2021-05-07,22:36:30,-97.704012,-85.027117,226294.34,182.708,32.333,06h36m58.937s,-86:08:33.574,3.0082572,17.0764091,097.628,6142.237
ONEWEB-0268,2021-05-07,22:40:30,-124.540392,-53.391387,225969.83,222.340,43.241,05h18m8.278s,-53:35:28.990,3.0084371,17.0771634,098.471,5717.441
ONEWEB-0268,2021-05-07,22:44:30,-127.871955,-21.141818,225710.36,265.085,36.892,05h10m58.807s,-20:41:47.487,3.0086170,17.0779176,099.315,5162.641
ONEWEB-0268,2021-05-07,22:49:30,-123.075038,-70.825933,225981.27,199.708,38.308,05h27m26.888s,-71:21:50.756,3.0088419,17.0788603,100.373,5900.019
ONEWEB-0268,2021-05-07,22:53:30,-129.132969,-38.595324,225673.98,242.667,40.260,05h14m4.567s,-38:26:49.451,3.0090218,17.0796145,101.221,5348.373
ONEWEB-0268,2021-05-07,22:58:30,-77.395267,-87.040381,225995.98,180.406,30.844,08h41m6.533s,-88:19:19.376,3.0092467,17.0805571,102.284,5931.723
ONEWEB-0268,2021-05-07,23:02:30,-129.750528,-55.852169,225666.23,219.647,39.826,05h18m25.259s,-56:00:29.339,3.0094267,17.0813111,103.135,5557.468
ONEWEB-0268,2021-05-07,23:06:30,-133.280596,-23.427751,225399.00,260.232,32.962,05h11m2.648s,-22:58:28.013,3.0096066,17.0820651,103.988,5116.938
ONEWEB-0268,2021-05-07,23:11:30,-127.696969,-72.866410,225675.68,198.111,36.110,05h28m38.177s,-73:20:35.900,3.0098315,17.0830076,105.057,5707.932
ONEWEB-0268,2021-05-07,23:15:30,-134.520907,-40.473322,225364.48,239.497,36.342,05h14m5.871s,-40:16:55.788,3.0100114,17.0837615,105.913,5250.442
ONEWEB-0268,2021-05-07,23:20:30,-48.979796,-87.576571,225689.93,178.947,30.140,12h42m29.174s,-88:37:43.859,3.0102363,17.0847039,106.985,5755.003
ONEWEB-0268,2021-05-07,23:24:30,-135.066650,-57.321429,225359.51,218.130,36.713,05h18m26.918s,-57:24:13.971,3.0104163,17.0854578,107.844,5408.177
ONEWEB-0268,2021-05-07,23:33:30,-132.666344,-73.920646,225371.75,197.513,34.379,05h28m58.461s,-74:18:23.408,3.0108211,17.0871538,109.781,5538.021
ONEWEB-0268,2021-05-07,23:37:30,-139.976794,-41.360160,225060.54,237.538,32.374,05h13m57.959s,-41:06:1.319,3.0110011,17.0879075,110.644,5158.499
ONEWEB-0268,2021-05-07,23:42:30,-39.230464,-87.501478,225386.85,178.471,30.011,13h57m0.610s,-88:22:55.421,3.0112260,17.0888496,111.723,5603.370
ONEWEB-0268,2021-05-07,23:46:30,-140.517660,-57.800689,225058.43,217.647,33.727,05h18m12.326s,-57:47:1.519,3.0114059,17.0896033,112.588,5275.445
ONEWEB-0269,2021-05-07,22:37:30,-126.540885,-4.584277,239732.36,283.894,30.575,05h09m47.948s,-03:55:21.093,3.0083022,17.0765977,097.838,5208.613
ONEWEB-0269,2021-05-07,22:38:30,-64.498375,-87.252544,240483.02,179.648,30.713,09h55m33.895s,-88:26:2.007,3.0083471,17.0767863,098.049,6254.713
ONEWEB-0269,2021-05-07,22:42:30,-122.654532,-65.410741,240238.75,206.127,40.812,05h25m32.365s,-65:50:27.427,3.0085271,17.0775405,098.893,6032.537
ONEWEB-0269,2021-05-07,22:46:30,-126.783869,-42.195573,239948.62,238.018,42.470,05h16m41.843s,-42:09:1.625,3.0087070,17.0782947,099.738,5586.948
ONEWEB-0269,2021-05-07,22:50:30,-129.166071,-18.862560,239653.66,267.160,34.950,05h12m5.286s,-18:23:54.779,3.0088869,17.0790489,100.585,5264.288
ONEWEB-0269,2021-05-07,22:55:30,-118.197425,-79.330582,240155.38,189.724,34.902,05h45m32.313s,-80:02:13.335,3.0091118,17.0799915,101.646,6047.483
ONEWEB-0269,2021-05-07,22:59:30,-128.617812,-56.164132,239883.98,219.118,40.490,05h20m29.244s,-56:20:11.729,3.0092917,17.0807456,102.496,5718.032
ONEWEB-0269,2021-05-07,23:03:30,-131.692661,-32.760700,239583.31,249.656,37.172,05h14m24.902s,-32:29:37.518,3.0094717,17.0814996,103.348,5353.058
ONEWEB-0269,2021-05-07,23:12:30,-128.905831,-69.722421,239807.39,201.996,36.974,05h27m46.660s,-70:06:22.982,3.0098765,17.0831961,105.271,5790.832
ONEWEB-0269,2021-05-07,23:16:30,-133.974368,-46.275514,239516.83,232.221,37.476,05h17m9.224s,-46:11:49.293,3.0100564,17.0839500,106.127,5448.789
ONEWEB-0269,2021-05-07,23:25:30,-119.399153,-82.692532,239714.45,186.610,32.669,05h59m53.292s,-83:23:46.473,3.0104613,17.0856462,108.059,5805.365
ONEWEB-0269,2021-05-07,23:29:30,-135.660763,-59.399417,239448.45,215.540,36.306,05h21m5.876s,-59:29:58.598,3.0106412,17.0864000,108.919,5528.513
ONEWEB-0269,2021-05-07,23:33:30,-139.035901,-35.749410,239150.40,244.290,31.914,05h14m35.275s,-35:26:18.951,3.0108211,17.0871538,109.781,5262.108
ONEWEB-0269,2021-05-07,23:42:30,-135.475540,-72.106238,239369.71,199.937,34.180,05h29m5.440s,-72:23:30.161,3.0112260,17.0888496,111.723,5580.765
ONEWEB-0269,2021-05-07,23:46:30,-141.304568,-48.422875,239086.29,228.964,32.673,05h17m15.393s,-48:15:32.914,3.0114059,17.0896033,112.588,5314.309
ONEWEB-0270,2021-05-07,22:36:30,-125.665661,-25.221235,260735.88,260.963,40.385,05h12m28.291s,-24:54:57.403,3.0082572,17.0764091,097.628,5500.329
ONEWEB-0270,2021-05-07,22:40:30,-127.292322,-12.052511,260627.12,275.679,33.765,05h10m6.070s,-11:32:29.243,3.0084371,17.0771634,098.471,5371.174
ONEWEB-0270,2021-05-07,22:45:30,-101.702709,-84.753430,260592.07,183.244,32.561,06h33m49.503s,-85:40:46.824,3.0086620,17.0781062,099.526,6298.149
ONEWEB-0270,2021-05-07,22:49:30,-122.635293,-71.930453,260557.78,198.353,38.088,05h30m29.202s,-72:25:33.926,3.0088419,17.0788603,100.373,6152.992
ONEWEB-0270,2021-05-07,22:53:30,-127.088687,-58.716226,260504.96,215.551,40.927,05h20m52.371s,-58:56:31.937,3.0090218,17.0796145,101.221,5925.997
ONEWEB-0270,2021-05-07,22:57:30,-129.620306,-45.426347,260433.43,233.525,40.603,05h16m23.805s,-45:24:12.862,3.0092018,17.0803686,102.071,5678.224
ONEWEB-0270,2021-05-07,23:01:30,-131.563043,-32.087108,260344.34,250.523,37.213,05h13m23.751s,-31:50:5.397,3.0093817,17.0811226,102.922,5477.602
ONEWEB-0270,2021-05-07,23:05:30,-133.264552,-18.704186,260239.89,265.490,31.367,05h10m55.266s,-18:15:3.057,3.0095616,17.0818766,103.775,5358.470
ONEWEB-0270,2021-05-07,23:14:30,-124.878560,-78.011459,260136.30,191.973,34.617,05h40m6.080s,-78:32:26.238,3.0099664,17.0835731,105.699,5977.731
ONEWEB-0270,2021-05-07,23:18:30,-132.237559,-64.640589,260090.34,208.668,37.214,05h23m17.947s,-64:52:11.434,3.0101464,17.0843270,106.556,5793.863
ONEWEB-0270,2021-05-07,23:22:30,-135.347061,-51.145081,260026.00,225.969,36.868,05h17m33.844s,-51:07:37.217,3.0103263,17.0850808,107.414,5592.534
ONEWEB-0270,2021-05-07,23:26:30,-137.491922,-37.592957,259944.16,242.475,33.669,05h14m10.212s,-37:21:8.346,3.0105062,17.0858347,108.274,5428.347
ONEWEB-0270,2021-05-07,23:39:30,-123.506525,-82.654593,259714.42,187.014,32.356,05h58m53.070s,-83:14:10.176,3.0110910,17.0882844,111.075,5824.120
ONEWEB-0270,2021-05-07,23:43:30,-137.241130,-69.202424,259676.93,203.572,34.340,05h25m55.178s,-69:24:4.779,3.0112710,17.0890380,111.939,5665.383
ONEWEB-0270,2021-05-07,23:47:30,-141.103407,-55.505351,259621.33,220.433,33.516,05h18m35.649s,-55:27:16.289,3.0114509,17.0897917,112.804,5499.206
ONEWEB-0270,2021-05-07,23:51:30,-143.470487,-41.741558,259547.55,236.444,30.042,05h14m46.668s,-41:28:33.236,3.0116308,17.0905453,113.670,5370.099
ONEWEB-0271,2021-05-07,22:37:30,-124.359832,-50.643550,267022.38,226.136,43.944,05h17m22.190s,-50:46:32.240,3.0083022,17.0765977,097.838,6029.408
ONEWEB-0271,2021-05-07,22:41:30,-126.044227,-43.055351,266902.28,236.854,43.165,05h15m13.069s,-43:02:28.267,3.0084821,17.0773520,098.682,5853.684
ONEWEB-0271,2021-05-07,22:45:30,-127.580378,-35.425369,266788.40,247.120,41.217,05h13m27.337s,-35:16:16.023,3.0086620,17.0781062,099.526,5701.658
ONEWEB-0271,2021-05-07,22:49:30,-129.025952,-27.755113,266681.97,256.626,38.245,05h11m54.921s,-27:28:9.500,3.0088419,17.0788603,100.373,5582.703
